dataset	class_dir	ecotaxa_taxon_id
tara_pacific_hsn	Globorotalidae	93380
tara_pacific_hsn	part<Actinopterygii	93381
tara_pacific_hsn	Acantharia	93382
tara_pacific_hsn	borax	93661
tara_pacific_hsn	damaged<Copepoda	94133
tara_pacific_hsn	echinopluteus	94199
tara_pacific_hsn	ophiopluteus	94201
tara_pacific_manta	Harosa	5
tara_pacific_manta	Mollusca	11498
tara_pacific_manta	Ctenophora<Animalia	11511
tara_pacific_manta	Cnidaria<Animalia	11512
tara_pacific_manta	Chaetognatha<Animalia	11514
tara_pacific_manta	Bryozoa	11515
tara_pacific_manta	Annelida	11518
tara_pacific_manta	Foraminifera	11758
tara_pacific_manta	Hydrozoa	12865
tara_pacific_manta	Cephalopoda	12906
tara_pacific_manta	Bivalvia<Mollusca	12908
tara_pacific_manta	Spumellaria	13378
tara_pacific_manta	Insecta	16627
tara_pacific_manta	Nudibranchia	16797
tara_pacific_manta	Neoceratium	18758
tara_pacific_manta	Tomopteridae	25631
tara_pacific_manta	Alciopini	25632
tara_pacific_manta	Eumalacostraca	25824
tara_pacific_manta	Copepoda<Multicrustacea	25828
tara_pacific_manta	Fritillariidae	25930
tara_pacific_manta	Oikopleuridae	25932
tara_pacific_manta	Salpida	25942
tara_pacific_manta	Pyrosomatida	25943
tara_pacific_manta	Doliolida	25944
tara_pacific_manta	Gymnosomata	26427
tara_pacific_manta	Cavoliniidae	26480
tara_pacific_manta	Limacinidae	26524
tara_pacific_manta	Creseidae	26525
tara_pacific_manta	Diatoma	28189
tara_pacific_manta	Ostracoda	30815
tara_pacific_manta	Pyrocystaceae	31874
tara_pacific_manta	Amphipoda	45054
tara_pacific_manta	Harpacticoida	45071
tara_pacific_manta	Calanoida	45074
tara_pacific_manta	Gerridae	47562
tara_pacific_manta	Branchiostoma lanceolatum	51173
tara_pacific_manta	Orbulina	54944
tara_pacific_manta	Diacavolinia	56457
tara_pacific_manta	Actinopterygii	56693
tara_pacific_manta	Terebellidae	60205
tara_pacific_manta	Temoridae	61973
tara_pacific_manta	Pontellidae	61980
tara_pacific_manta	Metridinidae	61982
tara_pacific_manta	Euchaetidae	61986
tara_pacific_manta	Eucalanidae	61987
tara_pacific_manta	Centropagidae	61990
tara_pacific_manta	Candaciidae	61991
tara_pacific_manta	Calanidae	61993
tara_pacific_manta	Acartiidae	61996
tara_pacific_manta	Oithonidae	62005
tara_pacific_manta	Velella	72302
tara_pacific_manta	Aglaura	72431
tara_pacific_manta	Creseis virgula	74170
tara_pacific_manta	Creseis acicula	74172
tara_pacific_manta	Diacria trispinosa	74198
tara_pacific_manta	Hyperiidea	78159
tara_pacific_manta	Gammaridea	78160
tara_pacific_manta	Sapphirinidae	78412
tara_pacific_manta	Oncaeidae	78418
tara_pacific_manta	Corycaeidae	78426
tara_pacific_manta	Haloptilus	80121
tara_pacific_manta	Porpita porpita	81608
tara_pacific_manta	Chelophyes	81821
tara_pacific_manta	Physalia	81832
tara_pacific_manta	Rhopalonema velatum	81871
tara_pacific_manta	Brachyura	81916
tara_pacific_manta	Evadne	81941
tara_pacific_manta	Copilia	81977
tara_pacific_manta	Spirorbis	82020
tara_pacific_manta	Oxycephalidae	82138
tara_pacific_manta	Calocalanus pavo	82515
tara_pacific_manta	Pontellina plumata	82530
tara_pacific_manta	Phronima	83681
tara_pacific_manta	detritus<not-living	84963
tara_pacific_manta	larvae<Annelida	84965
tara_pacific_manta	part<Annelida	84966
tara_pacific_manta	cyphonautes	84967
tara_pacific_manta	tail<Chaetognatha	84968
