Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living,root_class,qualifier,wikidata_ID,aphia_ID,NCBI_ID,BOLD_ID,ecotaxa_ID
planktonset1.0,hydromedusae_haliscera_small_sideview,animalia,cnidaria,hydrozoa,trachymedusae,halicreatidae,haliscera,,haliscera,True,True,living,full_body,Q4006872,117109.0,168741.0,978816.0,306
zooscan,Haloptilus,animalia,arthropoda,copepoda,calanoida,augaptilidae,haloptilus,,haloptilus,True,True,living,full_body,Q6552416,104140.0,201674.0,264636.0,56
planktoscope,Halosphaera,plantae,chlorophyta,pyramimonadophyceae,pyramimonadales,pyramimonadaceae,halosphaera,,halosphaera,True,True,living,full_body,Q5643460,134528.0,81842.0,163628.0,674
zoocamnet,Halosphaera,plantae,chlorophyta,pyramimonadophyceae,pyramimonadales,pyramimonadaceae,halosphaera,,halosphaera,True,True,living,full_body,Q5643460,134528.0,81842.0,163628.0,674
global_uvp5,Harpacticoida,animalia,arthropoda,copepoda,harpacticoida,,,,harpacticoida,True,True,living,full_body,Q146286,1102.0,41212.0,390.0,63
isiisnet,Harpacticoida,animalia,arthropoda,copepoda,harpacticoida,,,,harpacticoida,True,True,living,full_body,Q146286,1102.0,41212.0,390.0,63
planktoscope,Harpacticoida,animalia,arthropoda,copepoda,harpacticoida,,,,harpacticoida,True,True,living,full_body,Q146286,1102.0,41212.0,390.0,63
sykezooscan2024,Harpacticoida,animalia,arthropoda,copepoda,harpacticoida,,,,harpacticoida,True,True,living,full_body,Q146286,1102.0,41212.0,390.0,63
zoocamnet,empty_Harpacticoida,animalia,arthropoda,copepoda,harpacticoida,,,,harpacticoida,True,True,living,full_body,Q146286,1102.0,41212.0,390.0,63
zoocamnet,Harpacticoida,animalia,arthropoda,copepoda,harpacticoida,,,,harpacticoida,True,True,living,full_body,Q146286,1102.0,41212.0,390.0,63
medplanktonset,Haslea_silbo,chromista,heterokontophyta,bacillariophyceae,naviculales,naviculaceae,haslea,silbo,haslea silbo,True,True,living,full_body,Q123283803,1782279.0,1146997.0,2674817.0,660
medplanktonset,Helicotheca_tamesis,chromista,heterokontophyta,bacillariophyceae,lithodesmiales,lithodesmiaceae,helicotheca,tamesis,helicotheca tamesis,True,True,living,full_body,Q67881066,157440.0,374047.0,678279.0,626
planktoscope,Helicotheca tamesis,chromista,heterokontophyta,bacillariophyceae,lithodesmiales,lithodesmiaceae,helicotheca,tamesis,helicotheca tamesis,True,True,living,full_body,Q67881066,157440.0,374047.0,678279.0,626
global_uvp5,helix,animalia,mollusca,gastropoda,stylommatophora,helicidae,helix,,helix,True,True,living,full_body,Q1937315,153970.0,6534.0,5992.0,111
